tool,task,iteration,real_ms,user_ms,sys_ms,max_rss_kb
ast-grep,search-console-log,1,120,90,90,11456
ast-grep,search-console-log,2,41,20,20,11616
ast-grep,search-console-log,3,43,20,20,11584
semgrep,search-console-log,1,7971,7940,7940,255456
semgrep,search-console-log,2,7535,7510,7510,259552
semgrep,search-console-log,3,7507,7480,7480,251664
gritql,search-console-log,1,118,90,90,59280
gritql,search-console-log,2,80,50,50,59360
gritql,search-console-log,3,79,50,50,59360
jscodeshift,search-console-log,1,1049,1020,1020,157936
jscodeshift,search-console-log,2,750,720,720,155152
jscodeshift,search-console-log,3,754,730,730,156544
recast,search-console-log,1,202,170,170,95696
recast,search-console-log,2,200,170,170,95328
recast,search-console-log,3,197,170,170,95136
ast-grep,transform-var-to-const,1,90,70,70,15296
ast-grep,transform-var-to-const,2,41,10,10,10208
ast-grep,transform-var-to-const,3,39,10,10,9936
semgrep,transform-var-to-const,1,13122,13100,13100,332864
semgrep,transform-var-to-const,2,13111,13080,13080,343344
semgrep,transform-var-to-const,3,13099,13070,13070,334944
gritql,transform-var-to-const,1,1473,1450,1450,59360
gritql,transform-var-to-const,2,742,720,720,58544
gritql,transform-var-to-const,3,816,790,790,58800
jscodeshift,transform-var-to-const,1,927,890,890,159376
jscodeshift,transform-var-to-const,2,808,760,760,160416
jscodeshift,transform-var-to-const,3,806,780,780,160768
recast,transform-var-to-const,1,242,220,220,106400
recast,transform-var-to-const,2,198,170,170,97600
recast,transform-var-to-const,3,200,170,170,97072
ast-grep,search-async-trycatch,1,58,30,30,11072
ast-grep,search-async-trycatch,2,42,20,20,10976
ast-grep,search-async-trycatch,3,44,20,20,10896
semgrep,search-async-trycatch,1,1808,1780,1780,238448
semgrep,search-async-trycatch,2,1433,1410,1410,236208
semgrep,search-async-trycatch,3,1409,1380,1380,236304
gritql,search-async-trycatch,1,1486,1460,1460,59280
gritql,search-async-trycatch,2,1635,1610,1610,58960
gritql,search-async-trycatch,3,1368,1340,1340,59520
jscodeshift,search-async-trycatch,1,782,750,750,157728
jscodeshift,search-async-trycatch,2,764,740,740,157152
jscodeshift,search-async-trycatch,3,745,720,720,158416
recast,search-async-trycatch,1,199,170,170,99136
recast,search-async-trycatch,2,199,170,170,97664
recast,search-async-trycatch,3,199,170,170,96336
